PARID,AGAPPL,ACRES
"A05000047920000","1238","0.38"
"A05000048280000","1238","0.248"
"A05000048320000","1238","0.248"
"A05000048360000","1238","0.248"
"A05000048400000","1238","0.248"
"M44000712840000","1665","94"
"M44000700920300","2634","10.508"
"E18000293240000","2061","97.891"
"E18000293280000","2659","89.808"
"O49000790720000","1568","122.484"
"M45000736080200","1656","11.138"
"F20000329160000","638","10"
"C13000140280000","1556","67.575"
"C13000140320000","1556","39.016"
"J38000606920000","1370","26.213"
"C13000128320000","2238","20.261"
"O49000799560000","416","7.33"
"O49000799640000","2496","17.084"
"D17000238320000","999999","3.471"
"D17000238360000","999999","7.978"
"D17000238400000","999999","2.429"
"D17000238600000","999999","8.318"
"G25000412800100","1362","43.527"
"M45000735560000","1993","15.457"
"F20000330440000","1766","160"
"O49000800000000","876","80"
"B07000071640000","85","15.337"
"H29000465080000","406","33.705"
"A01000005920200","2774","62.192"
"E18000288800400","86","55"
"K40000634320000","2772","84.442"
"B07000068680000","1913","86.581"
"B09000098040000","999999","40.643"
"B09000098080000","2120","71.425"
"B09000098200000","2100","77.422"
"L41000656400000","2881","80"
"L41000656440200","2886","17.175"
"J37000596920100","45","9.835"
"J37000574280300","16","29.629"
"E18000266000300","1442","16.12"
"N47000772480000","1509","37.24"
"F20000310880000","2902","13.29"
"F20000313240000","588","16"
"F20000315400000","2060","67.64"
"F20000320360000","1166","74.712"
"F20000320400000","1166","79.09"
"F20000321360000","3","30"
"F20000324280000","1908","58.608"
"F20000326960000","576","9.51"
"F20000332640000","2072","92"
"F20000333880200","2294","154.231"
"F20000336280000","2696","10.163"
"F20000337880100","680","71.05"
"F22000349080000","2292","71.199"
"G25000390320000","61","44"
"G25000390360000","61","40"
"G25000390440000","61","39"
"G25000390480000","61","44"
"G25000390520000","61","40"
"G25000391320000","117","73.802"
"G25000391360000","117","47.108"
"J37000595080000","1595","69.891"
"G25000393840000","369","31.19"
"G25000393880000","369","80"
"G25000393920000","369","30"
"G25000395920000","2341","2.92"
"G25000395960000","2341","95.198"
"G25000397200000","671","80"
"G25000397280000","671","15"
"G25000397400000","671","27"
"G25000397880200","2607","3.88"
"G25000399400100","1293","25.188"
"G25000401240000","2116","31"
"G25000403160000","1743","63.845"
"G25000403920000","1023","24.236"
"G25000403960000","1023","14.777"
"A02000016560000","1740","59"
"G25000407760000","346","56.091"
"G25000410640000","265","20"
"G25000410800000","2607","80"
"G25000411600000","1872","38.77"
"G25000412440000","1923","10.29"
"G25000413920100","2256","23.186"
"G25000414480100","934","30.73"
"A01000003240000","1399","37"
"A01000004200000","1535","40"
"A01000004240000","1535","49.48"
"A02000023000000","2453","69.23"
"B07000064960000","1913","78.082"
"B09000084680000","305","11"
"B09000098560000","560","3"
"B09000098600000","560","40"
"B09000098640000","560","15.57"
"B09000098680000","560","25.165"
"B10000107360000","1853","40"
"C13000129520000","455","63.55"
"C13000130800000","590","77.19"
"J38000606640000","1247","80"
"O49000803880000","373","35.202"
"K40000621920000","2849","74.999"
"O49000793800000","2850","50.857"
"A01000005600000","457","79.31"
"L41000648320000","2082","80"
"E18000258680000","2870","142.046"
"A02000014960000","2150","60"
"L41000656760100","2878","20"
"B09000087160000","2888","65"
"B09000091360000","2888","50"
"D17000204240000","2889","82.32"
"E19000297840100","140","79.25"
"F20000315120000","2902","1.727"
"F20000315560200","2902","9.448"
"F20000337920000","2902","38.999"
"C13000132880000","2914","28.8"
"C13000132920000","2914","42"
"C13000132960000","2914","38.24"
"A02000016520100","1740","6.316"
"I35000563240100","999999","2.348"
"G25000399040000","265","20"
"O49000785800100","2925","75"
"O49000795320100","2926","35.544"
"C13000137920000","2927","80"
"C13000137960000","2927","154.249"
"L41000655520000","1054","58"
"K40000624240000","2945","88.67"
"D17000216240201","2190","7.064"
"B09000093760000","1084","13.32"
"B09000099680100","1896","0.723"
"O49000792560000","2235","41.594"
"F20000320960000","1903","76.771"
"M44000701280000","1243","60"
"B09000092360000","882","102.36"
"L41000654960000","1783","81.746"
"H26000432280000","3010","137.09"
"H26000433720000","3010","26.775"
"O49000790520000","3012","43.5"
"O49000794520200","3013","28.267"
"I34000546760000","3019","55.72"
"O49000801880000","2630","50.49"
"E18000280960000","513","40"
"E18000281040000","513","74.113"
"E18000281080000","513","77.5"
"B09000087760100","3043","43.87"
"Q53020241480200","3049","20.07"
"O49000797000000","1630","58.25"
"M44000712600000","3061","40"
"L41000652120000","1776","147.909"
"L41000655880000","1520","40.139"
"M44000713080000","545","1"
"M44000720760000","999999","79.941"
"J37000595840000","999999","99.818"
"C13000140240000","1559","62.826"
"O49000802120000","2106","40"
"O49000802160000","2106","75.21"
"B10000107600000","1913","40"
"B10000107640100","1913","56.709"
"M44000704080500","2249","62.515"
"B09000098800000","461","25.036"
"M45000736600000","2298","5.066"
"M45000736640000","2298","55"
"B09000098840000","2298","1.487"
"O49000795800000","171","78.836"
"O49000798200000","171","18.083"
"O49000798240000","171","6.869"
"B07000073160000","2556","100.201"
"G25000390960000","97","2.62"
"M43000691400000","740","126.6"
"H26000427560000","767","23.912"
"L41000656800000","2663","15.639"
"L41000656840000","2663","44.037"
"N46000756640000","1721","115.37"
"A02000015880000","266","38"
"L41000654160200","1256","35.128"
"C13000137360000","1024","15.224"
"A02000013920000","315","16.5"
"A02000013960000","315","23.5"
"I34000546280000","1674","38.5"
"O49000783000000","171","52.729"
"N46000764600000","167","76.75"
"N46000764640000","167","75.6"
"L41000658200000","2069","140.602"
"A01000019720000","1480","87.27"
"A02000001800000","716","36"
"F20000315360000","1078","59.5"
"E18000279360000","1734","6"
"A05000045640000","1889","43.654"
"K40000635600100","2906","2.793"
"J37000598680000","1461","40"
"I34000543280200","187","26.484"
"E18000255960000","1532","62.487"
"D17000210680100","999999","15.131"
"L41000659840000","1201","45.54"
"L41000659880000","1201","50"
"B09000101040000","1084","26.599"
"M44000704920000","2455","17.34"
"B07000072960200","2096","16.061"
"A02000024080100","2101","30.607"
"A02000011680000","1240","49.457"
"N46000764040000","2606","75.61"
"O49000787560000","1918","22.8"
"O49000787640000","1918","102.485"
"O49000787840000","2114","1.2"
"O49000798400000","2114","80"
"O49000798440000","2114","19.55"
"C13000144600000","2642","32"
"C13000144640000","3161","9.172"
"E18000292880000","2645","160"
"N46000765040000","2494","108.05"
"N46000764880000","2494","57.159"
"N46000764840000","2494","4.5"
"B07000072960000","999999","91.7"
"M44000702000000","1993","16.992"
"A02000022080100","382","6.864"
"M45000736120000","245","46.169"
"B10000108160200","1615","21.731"
"K40000630480700","1959","15.375"
"D17000190160000","79","78"
"N46000761790000","1194","44.854"
"N46000761810000","1194","62.45"
"N46000761830000","1194","81.03"
"E18000261040000","659","19.491"
"M44000700360200","2157","31.708"
"G25000413440000","1869","39.957"
"G25000413480000","1869","75.949"
"I34000543280000","3068","43.687"
"M44000721370000","3116","15"
"A02000021800000","999999","20"
"A05000051680000","999999","10"
"C13000140680000","2895","119.751"
"C13000140720000","745","38.264"
"I34000537360100","999999","15.235"
"E18000266000200","2960","30.562"
"D17000192720000","145","28.5"
"C13000128320200","2965","31.947"
"C13000128320300","2965","77.789"
"O49000803160000","2147","79.61"
"A04000033880000","2976","76.485"
"A01000001960000","2768","87.748"
"K40000634680000","1937","80"
"G25000411960000","1637","64.352"
"D17000220880000","1378","7.445"
"D17000229240000","82","3.27"
"D17000239880000","2497","138.571"
"D17000243800000","2453","5"
"D17000243840000","2453","15.8"
"D17000247480000","2639","18.364"
"E18000275400000","1515","151.7"
"E18000282560000","1407","25"
"E18000283320000","1130","69.746"
"G25000390560000","61","79.359"
"G25000391240000","1446","7.624"
"G25000394200000","999999","12.5"
"G25000408160000","1576","40"
"G25000410600100","265","20"
"G25000416200000","2256","40"
"G25000416240000","2256","40"
"H26000424320000","999999","65.852"
"H26000425960000","999999","38.139"
"H26000426480000","541","74.108"
"H26000427000100","2314","40"
"H26000427240000","528","80"
"H26000427800000","709","127.42"
"H26000427840000","709","28.18"
"H26000427880000","770","31.2"
"H26000427960000","770","18.43"
"H26000428160000","813","17.313"
"H26000428160100","121","22.687"
"H26000430120000","651","11.41"
"H26000431160100","2168","20.704"
"D17000237560000","999999","42.653"
"C13000127920000","18","7.92"
"H26000433520000","206","69.54"
"H26000433640000","280","70.44"
"H26000434160000","2174","57"
"H26000434240000","732","40"
"H26000436600000","1357","16.68"
"H26000437200000","651","60"
"H27000441920000","459","76.05"
"H28000446120000","871","80"
"H28000446880000","682","78.391"
"H28000446920000","682","37.182"
"H28000449680000","583","9.197"
"H28000449920000","616","5.665"
"H28000449960000","616","40"
"H28000450560000","813","40"
"H28000451200000","908","29"
"H28000451480100","1118","31"
"H28000453760000","1396","40"
"H28000455440000","821","35"
"H28000455480000","821","39.631"
"H28000458440000","2128","11.138"
"H28000459240000","575","57.69"
"L41000657040000","1354","16.653"
"L42000681040000","1520","10.602"
"I35000563200100","3079","2.6"
"I34000543360100","3080","11.873"
"D17000221680000","1972","44.051"
"F20000329480300","1876","2.111"
"C13000143760000","938","40"
"H28000448880000","1182","10.26"
"D16000183000200","1671","37.088"
"N46000748640000","1623","35.255"
"N46000742600000","999999","39.999"
"N46000742640000","999999","121.393"
"E18000280920000","739","71.424"
"I34000534400000","2874","69.085"
"M44000711720000","650","16.054"
"C13000142600000","1039","25"
"O49000799120000","1610","125.33"
"O49000799240100","1610","10"
"B09000097920000","80","36.491"
"B09000097960400","80","10.261"
"C13000143800000","691","66.918"
"B10000107320000","2067","67.412"
"M44000703560000","3142","35.04"
"H27000441880201","3044","43.59"
"O50000820680000","2573","11.456"
"O49000791440000","2573","74.716"
"O49000798080000","2573","35.357"
"O49000806960000","2573","84.77"
"M44000703960000","2567","80"
"F20000326120000","2519","84.84"
"O49000782120000","999999","3.343"
"D17000219600000","1055","28.889"
"K40000624760000","1054","40"
"F20000308360000","537","40"
"F20000308400000","537","28.718"
"J37000578240000","371","79"
"C13000145040000","1314","69.037"
"C13000144440000","696","36.3"
"C13000144480000","696","60.55"
"C13000144520000","696","97.63"
"A02000016800000","1692","34.675"
"A02000016840000","1692","29.93"
"A01000002040000","1692","18.629"
"E18000255160000","190","144.413"
"J37000595720000","2038","180.28"
"L41000660400000","2055","20.249"
"J37000587160000","1076","18.43"
"J37000587240000","1076","38.69"
"G25000398160000","2307","14.06"
"E18000280680000","739","65"
"E18000280760000","739","15"
"E18000280800000","739","60"
"E18000280880000","739","20"
"B09000101960100","1886","62.405"
"C14000160800000","68","46.256"
"O49000789120000","1696","78.39"
"O49000789160000","986","80"
"O49000789200000","1696","40"
"O49000789240000","1696","85"
"C13000141000000","721","40"
"J37000581640000","870","109.62"
"G25000390760000","97","0.155"
"L41000644520000","999999","40"
"L41000659360000","885","173.164"
"L41000659520000","885","40.86"
"H28000458640101","1561","24.013"
"B09000099240200","222","21.386"
"B09000096480000","999999","35.546"
"B09000099280000","222","40"
"B09000099320000","222","39.3"
"I35000561720000","222","34.4"
"I35000561760000","222","80"
"C13000139680000","2802","77.518"
"C13000129120000","342","37.14"
"B09000097640000","540","12.772"
"J36000568600000","2475","64.647"
"J36000568640000","2475","11"
"J36000568680000","2475","9.761"
"J37000594840000","2475","73.498"
"J37000578560000","380","90.203"
"C13000127880100","721","6.736"
"A01000001280000","500","37.25"
"A01000001240000","2862","54"
"A02000011960100","500","32.91"
"A02000014080000","2862","35.3"
"K40000633240000","1987","26.35"
"N47000772240000","1987","80"
"E18000258880000","2734","119.377"
"E18000258920000","2734","42.18"
"D17000204400000","451","19.377"
"D17000204440000","451","22.17"
"O49000789440000","797","80"
"O49000789480000","797","26.66"
"J36000568440000","3165","56.736"
"M45000734880700","2315","63.578"
"D17000221200300","1910","55.96"
"E18000258960400","1910","135.304"
"E18000286600000","1910","81.97"
"E18000286640000","1910","78.886"
"N46000765080200","3033","21.496"
"O49000806600100","416","40.327"
"D17000188080000","11","43.378"
"D17000243040000","999999","3.546"
"D17000243120000","999999","6.841"
"O49000806280000","203","80"
"O49000806320000","2593","74.929"
"K40000627440100","2572","51.5"
"G25000395720000","2599","38.76"
"G25000418720000","2599","58.033"
"H28000449240000","2599","40.87"
"H28000449280000","2599","54.947"
"H28000449320000","2599","60.571"
"H28000449400000","2599","39"
"E18000293040000","2651","78.075"
"E18000293080000","2651","82.966"
"A01000004280000","854","30.74"
"K40000626640000","1108","69.096"
"A02000024040000","2113","38.49"
"N47000770080000","999999","0.144"
"I34000534280000","2867","58.877"
"B09000091080100","392","20.012"
"I34000548200800","1068","79.519"
"H28000457600000","686","73.14"
"H28000457640000","686","66.032"
"H28000458080000","3046","87.009"
"O49000783320000","1032","77.874"
"O49000783360000","1032","20"
"C13000131720000","1053","44.72"
"J37000601680000","1591","56.6"
"J37000601720000","1591","149.18"
"J37000601760000","1591","80.92"
"J37000601800000","1591","30.08"
"G25000391120100","2031","2.776"
"I34000541120100","999999","76.871"
"I33000523160000","999999","81.034"
"M44000703880101","229","17.001"
"A04000033480000","1730","79.242"
"A04000033560000","1730","40"
"O49000783960000","123","78.941"
"G25000403800000","491","77.798"
"H28000459400000","1871","35.915"
"H29000465440000","504","80"
"H29000468200000","320","74.136"
"H29000468520000","2231","68.5"
"M44000725320000","2195","77.25"
"H31000482960000","709","3"
"H31000483000000","709","28.651"
"B09000088200000","999999","29.304"
"B09000088240000","1913","20"
"A01000002000000","1333","55.244"
"A01000002920000","2183","40"
"A01000003320000","829","80"
"A01000004320000","1711","18.38"
"A01000004400000","1646","40"
"A01000004440000","1646","80"
"A01000004480000","1646","40"
"A01000005080000","76","24.67"
"A01000007160000","965","37"
"A02000014840000","2150","55.652"
"A02000014920000","2150","40"
"A02000015600000","1990","76.015"
"A02000016600000","1740","87.35"
"A02000016640000","1131","18.19"
"A02000017360000","972","80"
"A02000017840000","1698","40"
"A02000019680000","92","36.74"
"A02000019920000","999999","19.754"
"A02000020200000","958","45.995"
"A02000021280000","1835","28.4"
"A02000022360000","690","75.544"
"A02000022400000","2334","56.155"
"A04000033920000","1774","107"
"A04000035040000","1857","107.84"
"A04000035320000","999999","49.353"
"B06000059120000","1635","96.54"
"B07000069560000","1710","60.11"
"B07000071080000","1955","72.801"
"B08000077680000","1218","44.382"
"B08000077680300","1263","26.937"
"B08000077840000","1801","40"
"B09000082400000","46","59.92"
"B09000082880100","1915","9.067"
"B09000083160000","194","78.232"
"B09000083200000","194","40"
"B09000083640000","1663","40"
"B09000083680000","1663","54.21"
"B09000084360000","1433","15.575"
"B09000084360300","1353","27.478"
"B09000084720000","305","41.77"
"B09000085040000","803","10.499"
"B09000085080000","803","40"
"B09000085520000","385","40"
"B09000086920000","613","20"
"D17000220760000","1377","91.566"
"E18000286720000","2337","11.274"
"H26000426880000","686","48.638"
"I35000562880000","882","110.098"
"E18000264800000","819","152.548"
"D17000248700000","2175","38"
"N46000743760000","239","111.5"
"I34000537680000","339","52.655"
"J37000582520000","999999","82"
"J37000582560000","999999","75.66"
"L41000645360000","658","26.285"
"B10000107960000","1778","16.5"
"C13000133720000","1673","25.474"
"K40000627560100","2708","12.149"
"H26000430120100","2716","12.5"
"I34000555920000","999999","20.447"
"F20000333840000","2223","150.879"
"I34000553600000","2223","37.57"
"I34000553680000","2223","44.78"
"P51040984460000","999999","16.568"
"H28000449200000","179","57.01"
"G25000392840000","2730","12.72"
"O49000789520000","797","10"
"O49000789560000","797","78.031"
"O49000789600000","797","20"
"I35000563520100","1901","20"
"D17000210280000","2921","65.874"
"G25000398680000","2682","54.263"
"G25000398720000","2682","40"
"G25000398760000","2086","34.03"
"G25000398800000","2682","20.475"
"G25000398840000","2682","65.184"
"G25000398880000","2682","20"
"G25000398920000","2682","71.419"
"G25000398960000","2682","36.274"
"G25000408960100","2682","29.34"
"F20000315720000","963","148.784"
"C13000133800101","943","54.163"
"C13000134280300","2920","21.12"
"L41000646320000","1583","31.476"
"O49000792240000","826","70"
"O49000792280000","2130","104.48"
"H29000466880000","413","59.845"
"H29000466960000","413","40"
"M44000699600000","1243","125.86"
"N46000748120000","1266","82.237"
"N46000750960000","1266","10.44"
"N46000751000000","1266","76.29"
"N46000751080000","1266","20"
"N46000748000000","1266","87.715"
"O49000795080000","1469","42.53"
"C13000134360100","1768","123.571"
"E18000281760000","3150","145.411"
"N46000752440000","1444","40"
"N46000752480000","1444","40"
"N46000752520000","1444","78"
"I34000537120200","1171","64.34"
"N47000770960000","1494","49.4"
"L41000652480200","1608","86.469"
"N46000745280000","509","42.822"
"A02000017600302","1467","13.572"
"B09000092240000","1318","70"
"B09000092280000","1318","10"
"B09000099080000","1318","40"
"B09000084400000","1318","50"
"B09000092400000","1318","78.89"
"A02000020800000","1159","32.603"
"A02000020840000","1159","80"
"L41000656440000","1354","137.89"
"G25000405240000","2296","14.895"
"I34000550280100","1797","30.6"
"N47000771640000","2253","62.479"
"N47000771720000","2191","147.567"
"N47000771720200","1878","80.675"
"H28000458640200","2758","91.684"
"H27000441840000","2758","80"
"G25000399800000","887","40"
"G25000399840000","887","20"
"G25000399880000","887","20"
"M44000698960000","1404","55.12"
"M44000699080000","1404","104.022"
"M44000698920000","1219","56.876"
"A02000011440000","166","32.849"
"N46000751600000","1983","116.171"
"N46000755640100","1221","42.956"
"H26000429800000","3160","154.5"
"H26000429840000","3160","76.523"
"H26000429880000","1859","159"
"H26000429920000","1859","160"
"E18000289560300","2444","2.93"
"M44000726840000","2444","8.266"
"G25000403720000","1176","35.616"
"G25000403760000","1176","39.163"
"G25000415560100","1176","7.854"
"I33000507320100","1176","75.911"
"I33000507320000","1176","77.578"
"I34000553200000","2204","40"
"I32000499080000","999999","41.879"
"I34000547480000","999999","38"
"I34000547520000","999999","68.828"
"M44000703480000","1011","64.63"
"M44000722360000","1011","76.754"
"M44000722480000","1011","2.2"
"G25000406720000","1129","18"
"N46000753120000","248","80"
"N46000753240000","248","99.24"
"N46000753280000","526","61.5"
"N46000753360000","248","40"
"N46000753400000","248","62"
"H26000429760000","1359","80"
"I33000506520000","999999","76.09"
"I33000506600100","999999","37.239"
"I34000542560000","999999","77.81"
"I34000544280000","1672","67.84"
"I34000548560000","999999","73.511"
"I34000531760000","999999","107.364"
"G25000393760000","999999","128.844"
"I34000548640000","1115","72.87"
"I34000528240000","1567","39"
"I34000536240000","1567","18.06"
"I34000536280000","1567","4.4"
"I34000550400000","1567","62.93"
"I34000550440000","1567","14.292"
"I34000550480000","1567","0.93"
"I34000536200000","1567","70.755"
"A02000015080000","1375","101.658"
"D17000201920100","1375","67.851"
"B09000099200000","2139","39"
"I35000563840000","2139","40"
"I35000563880000","2139","40"
"B09000087120000","2051","36.17"
"B09000087880200","1019","76.1"
"B09000087880204","1019","30.575"
"B09000089240000","772","40"
"B09000091080000","999999","20.986"
"B09000091120000","1534","20"
"B09000091400000","2327","20.94"
"B09000091520000","2687","79.69"
"B09000094360000","1817","37.243"
"B09000094800000","1636","70"
"B09000095160000","1886","73.8"
"B09000095360000","1913","63.418"
"B09000095400000","412","17.588"
"B09000095440000","1642","8.062"
"B09000096920000","347","132"
"B09000097400000","28","70.033"
"B09000097680000","1886","77.757"
"B09000097720000","1886","34.249"
"B09000097960000","2093","10.718"
"B09000098400000","282","35.329"
"B09000098440000","282","32"
"B09000098920200","540","25"
"B09000099640000","2093","15.08"
"B10000107440000","1853","19.44"
"C12000128560200","999999","49.65"
"C13000127840000","18","10.631"
"C13000127960000","18","6.764"
"C13000128040000","1059","80"
"C13000128080000","1059","80"
"C13000128560000","999999","68.053"
"C13000129240000","482","78.32"
"C13000129440000","455","6.38"
"C13000129480000","455","41.75"
"C13000130000000","1312","74.99"
"C13000130720000","590","40"
"C13000131720100","709","19.015"
"C13000131920000","745","8.867"
"C13000132760000","2311","94.26"
"C13000132800000","2311","16.02"
"C13000132840000","2311","40.3"
"C13000133240000","457","8.214"
"C13000134960000","1165","56"
"C13000135000000","1165","25"
"C13000135040000","1165","9.8"
"C13000135640000","1169","80"
"C13000136960000","1334","20"
"C13000137000000","1334","57.583"
"C13000138760000","590","76.647"
"C13000138800000","590","54"
"C13000138840000","590","38.97"
"C13000139720000","1526","20"
"C13000139760000","1526","78.394"
"C13000141400000","999999","77.4"
"C13000141560000","999999","80"
"C13000141600000","1863","22.528"
"C13000141960000","304","60"
"C13000142000000","304","80"
"C13000142680000","1224","78.66"
"P51030934840200","492","10"
"I34000543840000","1481","15.005"
"I34000543880000","1376","58.532"
"O49000789680000","2151","74.677"
"E18000293160000","2788","90"
"E18000293200000","2788","160"
"O49000781480000","15","68.128"
"A04000034360000","965","80.37"
"I34000547440000","1604","22.346"
"A02000018440000","1211","40"
"A02000018320000","1211","75.246"
"A02000018200000","1211","40"
"A02000018400000","1211","29.662"
"C13000135840000","1895","18"
"C13000135880000","1895","1.04"
"C13000135920000","1895","19"
"B09000087000000","1433","79.788"
"G25000416080100","2704","64.758"
"F20000313600000","999999","58.46"
"F20000313640000","999999","75.7"
"F20000313680000","999999","30"
"F20000328400000","999999","40"
"G25000395760000","179","19.62"
"G25000395800000","179","29.208"
"G25000393120000","253","13.34"
"B09000090800000","1034","78.004"
"B09000090840000","1034","79.21"
"E18000290800000","2542","79.5"
"A01000006480000","2544","80"
"A01000006520000","2544","41.415"
"H26000431480000","999999","29.022"
"F20000305560000","2226","152.091"
"K40000629200000","1296","100.535"
"K40000629640000","2485","45"
"A01000004080000","1524","15"
"A01000004120000","1524","25"
"A01000004160000","1524","80"
"I34000533160300","2748","18.952"
"I34000533160400","2748","11.217"
"A02000021880000","586","48.457"
"H29000465240200","1595","14.334"
"H28000450040100","186","12.565"
"A02000021920000","586","53.171"
"I34000544480100","622","115.806"
"I34000552200000","622","11.25"
"I34000552240000","622","59.266"
"M43000692720000","2762","22.385"
"M44000711840000","2762","36.907"
"G25000414880000","2166","38.814"
"G25000415040000","2166","37.783"
"G25000415080000","2166","76.233"
"I34000537360300","581","48.681"
"C13000134320000","304","75.583"
"M44000723160200","2857","17.983"
"J37000597960000","2038","59.51"
"N46000758840000","2847","5"
"D17000247520000","2639","79.506"
"G25000406480000","2523","5.641"
"A01000004560200","3176","102.101"
"C13000132360400","2572","60.862"
"G25000405280300","785","43.516"
"J37000590600000","1569","60"
"J37000591000000","1569","17"
"N46000742920000","152","20"
"N46000742960000","152","80"
"O49000788960000","2080","38"
"M44000709240000","1254","29.995"
"M44000709280000","1254","20.777"
"M44000709320000","1254","9.479"
"M44000709360000","1254","11.322"
"I35000563800100","544","9"
"B10000106640000","1510","68.45"
"L41000651520300","1513","19"
"N47000770800000","408","77.225"
"K40000622040000","1670","80"
"K40000622000000","1670","76.773"
"L41000643880000","48","55"
"L41000643920000","48","80"
"L41000643960000","48","82.119"
"L41000645000000","48","22.83"
"L41000645320000","48","75.445"
"L41000645400000","48","15"
"L41000645440000","48","80"
"L41000655360100","48","67"
"O49000782360000","99","75.615"
"O49000782360100","99","2.385"
"A01000000720000","205","80"
"N46000753960000","202","80.92"
"N46000754000000","202","80.66"
"C13000144880000","272","28.397"
"F20000304440000","1001","31.387"
"E18000255400000","295","5.086"
"E18000255440000","295","12.526"
"B09000087880203","1018","32.574"
"G25000413080000","2711","69"
"D17000201920200","1525","66.275"
"M44000703880100","86","45.738"
"M44000722440000","2340","40.325"
"M44000722520000","2340","41.89"
"A04000035160100","2362","2.563"
"A04000035160000","999999","77.437"
"M44000704160101","2996","17.654"
"G25000399240000","877","80"
"G25000399200000","2525","80"
"G25000414000000","399","109.693"
"G25000399360000","2577","20"
"G25000399400000","2577","65"
"I34000533440200","999999","52.879"
"A02000021480000","1307","79"
"A02000021440000","1307","53.196"
"H29000466320000","769","10.753"
"E18000282760000","2059","59.53"
"F20000325520000","1787","97.81"
"H26000425840000","1240","52.54"
"A02000019120000","1467","79.953"
"K40000637360000","999999","46.73"
"M45000737240000","2562","20"
"N46000747560000","102","8.42"
"C13000142520300","2289","16.512"
"C13000142560000","2289","5"
"M44000708400000","1231","15.92"
"M44000708440000","1231","14.87"
"K40000636560200","548","46.084"
"I34000542720000","1023","58.601"
"I34000542680000","1023","38.838"
"C13000135720000","2963","75.75"
"C13000134600000","1170","40"
"C13000134640000","1170","55.824"
"C13000134680000","1170","36.449"
"C13000134840000","1170","39"
"C13000145440000","1170","30"
"C13000135680000","1170","49.999"
"M44000720440000","2957","77.344"
"O49000795120000","1200","100"
"L41000651840000","1151","55.86"
"L41000651880000","1151","30"
"M44000709160000","1206","93.6"
"C13000144080000","2512","40"
"D16000183080100","999999","14.447"
"D17000190280000","2088","70.814"
"I34000537600000","339","60"
"I34000537640000","334","16.2"
"D17000204120000","626","9.44"
"A02000014720000","2313","34.6"
"A02000014760000","2313","56.512"
"D17000207720000","755","18"
"D17000209280000","999999","76.54"
"D17000236300000","2104","80"
"B09000090080000","1539","40"
"L41000651640000","774","80"
"E18000287160000","2337","26.03"
"E18000287800000","2337","18.34"
"G25000405480000","999999","80"
"I34000551280200","286","19.686"
"K40000628960000","508","53.66"
"K40000621960000","366","157.145"
"D17000229040100","844","40"
"C13000134560000","878","160"
"H26000424200000","181","81.35"
"E18000267400000","1506","127.26"
"L41000645520400","2066","58.836"
"D17000217920000","2094","25.78"
"O49000797280000","1793","40"
"F20000321000000","833","20.37"
"I34000541120000","723","15.316"
"K40000622840100","248","60.19"
"E18000265280000","1734","2.88"
"D17000243000000","82","4.928"
"A01000006920000","601","38.625"
"A01000007040000","601","41.99"
"F20000326840000","1930","75.28"
"H28000452280100","981","12.635"
"J37000575280000","1114","11.94"
"M44000704880000","1231","21.848"
"D16000183160200","118","158.307"
"O49000789400000","1414","15"
"B09000099680000","2033","79.963"
"J37000600400000","1861","105.829"
"I35000562720200","2524","7.18"
"L41000647480500","1783","40.42"
"Q53020241480501","1152","3.612"
"N46000744440000","70","77.654"
"L41000653400000","1354","126.45"
"L41000653440000","1354","80"
"F21000344280000","1931","53.995"
"A02000023120000","2557","34.62"
"J37000600440000","45","38.91"
"J37000600560100","45","33.193"
"O49000805360000","2750","80.43"
"H26000426840100","686","41.222"
"L41000660440000","2752","50.774"
"J37000579240000","3171","32.785"
"G25000397880100","2515","43.795"
"J37000589240000","572","33.254"
"J37000589000000","801","36.412"
"C13000129200200","1235","36.015"
"O49000795480000","1175","78.288"
"O49000795640000","1175","96.235"
"O49000795720000","1175","20"
"L41000651560000","779","24.236"
"H26000426880100","686","31.362"
"J37000588840200","1384","21.589"
"N46000756480000","1475","6.375"
"N46000756520000","1475","71.844"
"B07000071120000","1955","76.98"
"G25000416080101","2742","30.678"
"N46000754960000","1572","136.75"
"N46000755000000","1572","20"
"J37000589880100","1679","34.784"
"H26000434200000","732","40"
"H28000447280300","2299","59.545"
"C13000131600000","692","14.33"
"C13000131480000","1945","150.36"
"G25000403240000","999999","76.348"
"G25000403280000","999999","23.652"
"G25000401280000","2563","98"
"G25000401320000","2563","63.35"
"G25000418920000","1012","40"
"G25000418880000","1012","40"
"I34000543440000","1279","78.524"
"F20000320800000","2129","93.941"
"F20000317960000","2129","68.454"
"F20000317760000","2129","32.83"
"F20000317800100","999999","12.526"
"F20000317840000","2129","24.27"
"C13000142640400","2053","23.098"
"J37000591720400","1370","20"
"D17000218080000","498","53.02"
"D17000218560000","1815","15.45"
"J37000586000000","1373","73.872"
"A01000002000100","2601","57.486"
"N46000755480000","2811","20"
"N46000755520000","2811","77.599"
"H26000434080000","732","58.525"
"F20000318360000","1094","12.331"
"C13000136040400","535","6.183"
"M45000737080000","1018","4.252"
"M45000737120000","1018","68.14"
"D17000230280000","1627","29.987"
"C13000130320000","422","40"
"D17000220560000","494","38.54"
"L41000650480100","2884","83.91"
"D17000220680300","3174","69.647"
"D17000201760000","900","77.1"
"C13000139640102","1290","57.838"
"C13000139640103","1290","19.576"
"I34000549560000","999999","83.97"
"A01000001600000","479","80"
