PARID,AGAPPL,ACRES
"O49000792160000","1148","25.5"
"O49000792200000","1148","78.15"
"O49000792200100","1148","0.51"
"B09000085440100","731","34.63"
"B09000088400000","731","16.1"
"B09000088440000","731","40"
"I34000536040000","731","40"
"I34000536080000","731","117.45"
"I34000536120000","731","15.156"
"O49000789080000","782","145.212"
"C13000133320000","304","40"
"C13000133360000","304","76.68"
"L41000650800000","919","120.062"
"A01000000120000","2142","31.333"
"A01000000160000","2877","38.105"
"F20000314880000","1786","13.636"
"H26000425280100","2146","14.673"
"H26000425840100","2146","24.763"
"J37000582080000","1460","61.079"
"C13000140160000","2070","77.846"
"E18000267720000","1005","63.485"
"L41000651440000","3179","132.5"
"F20000327120300","2419","30.826"
"O49000788360000","1854","120"
"O49000788800000","1854","120"
"O49000782040000","52","86.66"
"C13000133560200","2310","20.518"
"O49000794880000","2310","77.935"
"O49000794920000","2310","75.43"
"L41000644080000","55","46.57"
"M45000733880000","841","50"
"D17000194760000","236","6.33"
"D17000194800000","236","6.73"
"D17000194840000","238","17.957"
"A02000012560000","238","40"
"A02000012600000","238","38"
"E18000252520000","942","55.506"
"D17000208600000","1842","7.5"
"G25000393200000","343","119.21"
"E18000252480300","304","101.001"
"E18000265080000","304","79.057"
"L41000646520200","312","62.853"
"L41000644200000","312","90"
"L41000647160000","312","83.479"
"L41000647240000","312","35"
"J37000578120400","999999","4.304"
"J37000578120000","1750","56.57"
"I34000531960000","1418","40"
"I35000562080000","1418","38.246"
"I35000562120000","1418","39.48"
"I34000533040000","429","80"
"I34000533960000","429","72.05"
"I34000534000000","429","5"
"F20000327120000","444","124.773"
"O49000785800000","481","1.861"
"O49000785840000","481","153.508"
"O49000786600000","481","36.871"
"C13000130280000","353","97.277"
"D17000202040000","400","80"
"M45000733400000","400","20"
"C13000133640000","655","120"
"M44000724560100","1391","17.902"
"D17000216240102","651","5"
"J37000581000000","926","71.18"
"F23000358400000","463","27"
"I34000535560000","137","35.13"
"F20000312080000","1162","40"
"F20000326280000","1162","199"
"F20000332320000","1162","38.75"
"D17000220640000","939","134.83"
"O49000804320000","1813","21.63"
"O49000791240000","69","76.714"
"O49000791280000","69","80"
"A02000021680100","321","71.401"
"J37000578440000","923","40"
"J37000578520000","999999","56.43"
"J37000580240000","2150","120"
"J37000580280000","2150","160"
"J37000580360000","2150","80"
"J37000581240000","189","16.335"
"J37000581280000","189","4.5"
"J37000583440000","817","74.34"
"J37000583480000","817","78.53"
"J37000583600100","1740","158.943"
"J37000586080000","2269","9.241"
"J37000587520000","1119","18.76"
"J37000590440000","1518","53"
"J37000591680000","1370","75"
"J37000592120000","1647","40"
"J37000592400000","371","51.268"
"J37000592400200","1647","59.137"
"J37000594400000","1972","100"
"J37000594440000","1972","57.68"
"J37000597360000","2231","35.733"
"J37000597480000","2231","59.99"
"J37000597520000","2231","15"
"J37000598000000","2497","40"
"J37000601640000","2598","77.114"
"K39000611480000","63","40"
"K39000611520000","63","5.673"
"K40000613520000","93","20"
"K40000620640000","214","80"
"K40000621160000","1937","1"
"K40000621720000","351","56.281"
"K40000621760000","351","4.154"
"K40000621880000","401","113.477"
"K40000622880000","439","47.967"
"K40000624280000","1937","78.4"
"K40000624440000","1049","15.473"
"K40000624440200","1204","31.62"
"K40000624480100","1204","68.831"
"K40000625040000","4","80"
"K40000625080000","1060","40"
