OBJECTID,Parcel_AGAPPID_csv_AGAPPL,DISSOLVE_landuse_parcel_union_LAND_USE,SUM_SUM_DISSOLVE_landuse_parcel_union_SUM_ACREAGE,Shape_Length,Shape_Area
594,729,Conservation Program Designated,1.95,4420.283,84943.45615
595,731,Conservation Program Designated,1.92,3771.600866,83623.91221
596,732,Conservation Program Designated,3.01,8948.126012,131118.9853
597,734,Conservation Program Designated,13.48,3829.6604,587189.331
598,744,Conservation Program Designated,5.08,7855.185648,221285.2918
599,755,Conservation Program Designated,1.61,1902.891279,70117.87078
600,761,Conservation Program Designated,63.072,9277.141329,2747386.394
601,766,Conservation Program Designated,2.41,1874.896659,104979.3539
602,772,Conservation Program Designated,0.3,1035.941585,13068.02962
603,773,Conservation Program Designated,12.56,5063.705946,547113.7554
604,775,Conservation Program Designated,8.01,7177.311347,348916.1445
605,778,Conservation Program Designated,2.2,1998.317064,95830.55284
606,779,Conservation Program Designated,0.914,2264.606051,39810.04351
607,780,Conservation Program Designated,1.08,2960.346287,47048.07336
608,803,Conservation Program Designated,9.15,9548.5973,398575.7855
609,805,Conservation Program Designated,27.592,8806.214343,1201884.982
610,807,Conservation Program Designated,8.52,8774.353585,371132.3774
611,818,Conservation Program Designated,16.411,5055.653269,714857.914
612,819,Conservation Program Designated,2.5,6103.499416,108904.2147
613,824,Conservation Program Designated,0.66,1796.099294,28749.66359
614,829,Conservation Program Designated,0.42,858.3577908,18294.88234
615,833,Conservation Program Designated,28.47,11665.52621,1240156.725
616,838,Conservation Program Designated,29.26,11275.18072,1274565.749
617,848,Conservation Program Designated,9.7,8114.830565,422532.1772
618,849,Conservation Program Designated,38.469,10898.73246,1675704.881
619,855,Conservation Program Designated,1.7,2588.952927,74052.34363
620,857,Conservation Program Designated,2.06,5642.54684,89736.59634
621,869,Conservation Program Designated,9.84,2855.200861,428630.4198
622,874,Conservation Program Designated,0.88,3171.917387,38332.65503
623,877,Conservation Program Designated,1.06,1740.596585,46173.58697
624,885,Conservation Program Designated,0.64,2115.695041,27878.20109
625,886,Conservation Program Designated,18.32,9531.461823,798021.1683
626,898,Conservation Program Designated,0.79,2591.425607,34414.23727
627,899,Conservation Program Designated,9.85,8338.20369,429066.9314
628,901,Conservation Program Designated,7.24,6481.275528,315376.1143
629,923,Conservation Program Designated,3.49,9444.229645,152024.0349
630,924,Conservation Program Designated,7.86,10882.7846,342383.2674
631,938,Conservation Program Designated,5.11,13866.67853,222592.5539
632,940,Conservation Program Designated,2.2,4894.628588,95831.98349
633,941,Conservation Program Designated,0,10.88829524,0.069522553
634,954,Conservation Program Designated,1.87,1883.360617,81457.1013
635,965,Conservation Program Designated,0.71,1871.979852,30927.48591
636,966,Conservation Program Designated,0,55.12501989,7.451016706
637,970,Conservation Program Designated,16.53,5528.705429,720049.5948
638,971,Conservation Program Designated,5.02,9446.732711,218673.6426
639,972,Conservation Program Designated,5.51,3313.511844,240015.3121
640,974,Conservation Program Designated,12.9,4436.533814,561939.6173
641,982,Conservation Program Designated,0.982,3372.968031,42771.40671
642,984,Conservation Program Designated,1.9,1852.307649,82764.23251
643,986,Conservation Program Designated,2.13,5494.972594,92786.2431
644,988,Conservation Program Designated,4.23,12564.58905,184260.0418
645,996,Conservation Program Designated,2.55,4455.339014,111080.3632
646,997,Conservation Program Designated,1.25,3557.292062,54453.26891
647,1004,Conservation Program Designated,1.8,5110.055682,78407.69841
648,1015,Conservation Program Designated,26.5,10784.68681,1154340.919
649,1017,Conservation Program Designated,1.8,4498.246433,78407.14946
650,1023,Conservation Program Designated,0,3.749934702,0.366780244
651,1026,Conservation Program Designated,53.47,10927.13809,2329154.963
652,1030,Conservation Program Designated,0.652,1904.981203,28406.74941
653,1031,Conservation Program Designated,2.19,6545.398262,95398.72603
654,1033,Conservation Program Designated,5.29,7563.449134,230432.2778
655,1035,Conservation Program Designated,9.15,12539.5035,398577.22
656,1036,Conservation Program Designated,5.1,2820.478308,222156.0073
657,1039,Conservation Program Designated,3.6,9690.674948,156818.1516
658,1041,Conservation Program Designated,3.29,9229.191243,143316.4722
659,1054,Conservation Program Designated,2.3,6734.768566,100187.4001
660,1071,Conservation Program Designated,9.06,15685.4977,394664.714
661,1075,Conservation Program Designated,1.5,3085.061656,65342.72122
662,1082,Conservation Program Designated,3.69,3798.587032,160736.5283
